num__Age,num__Income,num__Credit_Score,num__Loan_Amount,num__Loan_Term,cat__Employment_Status_Employed,cat__Employment_Status_Self-Employed,cat__Employment_Status_Unemployed,Loan_Approved
0.05882352941176472,0.08784861018045703,0.26593806921675767,0.9966857610474633,0.75,1.0,0.0,0.0,0
0.6470588235294118,0.11462063972519387,0.6156648451730419,0.7530687397708675,0.25,0.0,1.0,0.0,0
0.5098039215686275,0.27982778406771563,0.5500910746812385,0.7480155482815057,0.75,1.0,0.0,0.0,0
0.37254901960784315,0.644384882583547,0.00910746812386154,0.30646481178396073,0.25,1.0,0.0,0.0,0
0.03921568627450983,0.36398715312276164,0.9508196721311476,0.7519844517184944,0.25,1.0,0.0,0.0,0
0.6274509803921569,0.1220145259055585,0.4171220400728597,0.35419394435351886,1.0,0.0,0.0,1.0,0
0.6470588235294118,0.3964663385629674,0.2714025500910746,0.6362929623567922,1.0,1.0,0.0,0.0,0
0.8823529411764707,0.11493642028081363,0.5956284153005463,0.9156710310965631,0.25,1.0,0.0,0.0,0
0.0,0.968275607107373,0.24590163934426224,0.4601472995090017,0.25,1.0,0.0,0.0,0
0.8823529411764707,0.19606121521600162,0.13296903460837883,0.4498772504091653,1.0,0.0,0.0,1.0,0
0.3137254901960784,0.7264339132912806,0.13114754098360648,0.29824058919803603,0.25,1.0,0.0,0.0,0
0.9215686274509803,0.10070318938361178,0.6010928961748633,0.08097381342062193,0.25,1.0,0.0,0.0,0
0.7450980392156864,0.7015719710098045,0.116575591985428,0.38866612111292964,0.75,1.0,0.0,0.0,0
0.607843137254902,0.9388001879279404,0.5100182149362477,0.7149959083469722,0.5,1.0,0.0,0.0,0
0.7450980392156864,0.9679906344108382,0.26775956284153,0.702802782324059,0.25,1.0,0.0,0.0,0
0.09803921568627455,0.08510671072190515,0.6739526411657558,0.44813829787234044,0.0,1.0,0.0,0.0,0
0.7058823529411765,0.9968421944438026,0.30965391621129323,0.37209492635024555,1.0,1.0,0.0,0.0,0
0.6470588235294118,0.9765321133421134,0.7413479052823314,0.9482610474631752,0.0,1.0,0.0,0.0,0
0.37254901960784315,0.9852815453222117,0.18943533697632053,0.5081219312602292,0.5,0.0,0.0,1.0,0
0.1960784313725491,0.548441507428545,0.9180327868852459,0.7694762684124387,0.0,0.0,0.0,1.0,0
0.5490196078431373,0.5573218728097538,0.551912568306011,0.8397708674304419,0.5,0.0,1.0,0.0,0
0.7843137254901961,0.051302787341050704,0.8506375227686703,0.7818739770867431,0.0,1.0,0.0,0.0,0
0.8039215686274509,0.07078875821221994,0.8979963570127504,0.6200081833060557,0.0,1.0,0.0,0.0,0
0.9411764705882354,0.45829771174626643,0.06375227686703089,0.46896481178396077,0.0,1.0,0.0,0.0,0
0.47058823529411764,0.9630921848163465,0.3752276867030965,0.3519844517184943,0.75,1.0,0.0,0.0,0
0.4509803921568628,0.2333079168495883,0.41165755919854274,0.4101677577741408,1.0,1.0,0.0,0.0,0
0.5686274509803921,0.44820043593120606,0.1839708561020036,0.4342266775777414,0.5,1.0,0.0,0.0,0
0.07843137254901966,0.3077165985042784,0.3187613843351548,0.28093289689034373,0.5,0.0,0.0,1.0,0
